"","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant","refuge","season_migrant","body_shape","phys_defense","transparent","col_disrupt","countershade","photophore_PA","gregarious_primary","trophic_level","b_shape_r","eye_body_r"
"1","Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","adult","mesopelagic","oceanic",1,0,NA,"elongated",0,0,0,1,0,"schooling",3.4,7.92871055707051,0.0851471527538938
"2","Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,0,1,0,"schooling",3.26,6.35849986175434,0.0748307766300024
"3","Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","adult","epipelagic","coastal",0,0,1,"elongated",1,0,0,1,0,"schooling",2.33,6.09834362688903,0.0363555406490541
"4","Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","adult","bathypelagic","oceanic",NA,0,1,"elongated",0,0,0,1,0,"solitary",4.5,14.4532010035774,0.0191500360332225
"5","Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","adult","mesopelagic","oceanic",NA,0,1,"elongated",0,0,0,1,0,"solitary",4.34,14.6096575085178,0.0312489094290915
"6","Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","adult","demersal","continental shelf",0,0,1,"elongated",0,0,1,0,0,"schooling",3.66,6.81361815791799,0.108228349664037
"7","Actinopterygii","Aulopiformes","Omusdidae","Omosudis lowii","adult","mesopelagic","oceanic",1,0,NA,"elongated",0,0,0,0,0,"solitary",4.29,4.93248870371009,0.0584575693656471
"8","Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","adult","mesopelagic","oceanic",1,0,1,"elongated",0,0,0,0,0,"solitary",3.22,12.4530609400937,0.0323250392304657
"9","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","adult","mesopelagic","oceanic",1,0,NA,"elongated",0,1,0,0,0,"schooling",4.05,10.9267422766572,0.038725176277448
"10","Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","adult","mesopelagic","oceanic",1,0,1,"elongated",0,1,0,0,0,"schooling",4.5,10.7016711183486,0.0407237757339047
"11","Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","adult","mesopelagic","oceanic",1,0,NA,"elongated",0,1,0,0,0,"schooling",4.1,16.7564516218196,0.0290080287429031
"12","Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","adult","mesopelagic","oceanic",NA,0,NA,"elongated",0,1,0,0,0,"schooling",3.65,9.83538452813067,0.042269768404308
"13","Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","adult","mesopelagic","oceanic",NA,0,NA,"elongated",0,1,0,0,0,"schooling",4.07,9.11732947285103,0.0420302984296932
"14","Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","adult","mesopelagic","oceanic",NA,0,NA,"elongated",0,1,0,0,0,"schooling",3.15,9.41601673958531,0.0483636363636364
"15","Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","adult","mesopelagic","oceanic",NA,0,1,"elongated",0,1,0,0,0,"schooling",4.2,9.70704049675939,0.0457048130152387
"16","Actinopterygii","Beloniformes","Belonidae","Belone belone","adult","epipelagic","coastal",0,0,1,"elongated",0,0,0,1,0,"schooling",4.16,16.3983190950015,0.0219122180342821
"17","Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","adult","epipelagic","coastal",NA,0,1,"elongated",0,0,0,1,0,"schooling",4.5,18.1057444039238,0.025670736370686
"18","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","adult","epipelagic","oceanic",0,0,1,"elongated",0,0,0,1,0,"schooling",3.71,9.03582151762649,0.0332378318582026
"19","Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","adult","epipelagic","oceanic",1,0,1,"elongated",0,0,0,1,0,"schooling",3.91,10.3315696037922,0.0262189768619551
"20","Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii pallasii","adult","epipelagic","coastal",1,0,1,"fusiform",0,0,0,1,0,"schooling",3.16,5.16144116568024,0.0492092403658467
"21","Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","adult","epipelagic","coastal",1,0,1,"fusiform",0,0,0,1,0,"schooling",3.06,5.52416628507582,0.0494539643593156
"22","Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","adult","epipelagic","coastal",1,0,1,"fusiform",0,0,0,1,0,"schooling",3.4,5.25062848849049,0.0488212072480578
"23","Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","adult","epipelagic","coastal",1,0,1,"fusiform",0,0,1,1,0,"schooling",2.84,5.28424858257628,0.046666533809967
"24","Actinopterygii","Clupeiformes","Engraulidae","Engraulis encrasicolus","adult","epipelagic","coastal",1,0,1,"elongated",0,0,0,1,0,"schooling",3.12,6.72883909033486,0.0483196821248878
"25","Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","adult","epipelagic","coastal",1,0,1,"elongated",0,0,1,1,0,"schooling",3.14,6.18229376580409,0.0544114512876651
"26","Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","adult","epipelagic","coastal",1,0,1,"elongated",0,0,0,1,0,"schooling",3.1,5.79779303580188,0.0524181845539445
"27","Actinopterygii","Gadiformes","Gadidae","Microgadus proximus","adult","demersal","continental shelf",1,1,1,"fusiform",0,0,0,1,0,"schooling",3.58,5.14562294838919,0.0392546878503993
"28","Actinopterygii","Gadiformes","Gadidae","Micromesistius poutassou","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,0,1,0,"schooling",4.13,5.88468967149822,0.0616873794237251
"29","Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","adult","demersal","continental shelf",0,1,0,"elongated",0,0,1,1,0,"solitary",3.47,6.49033802085943,0.0242876953771721
"30","Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","adult","demersal","continental shelf",1,0,1,"elongated",0,0,0,1,0,"schooling",4.35,6.50731290949899,0.0508789485957379
"31","Actinopterygii","Lampriformes","Trachipteridae","Desmodema polystictum","adult","mesopelagic","oceanic",NA,0,NA,"eel-like",0,0,1,1,0,"solitary",4.15,8.33711955730304,0.0331871932367994
"32","Actinopterygii","Lampriformes","Trachipteridae","Trachipterus trachypterus","adult","mesopelagic","oceanic",NA,0,NA,"eel-like",0,1,1,0,0,"solitary",2.88,7.87179210696571,0.0243140692848239
"33","Actinopterygii","Myctophiformes","Myctophidae","Benthosema glaciale","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,0,1,"schooling",2.99,4.76476275912759,0.0736014455771224
"34","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus maderensis","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.05,6.06701226016498,0.0821401092138896
"35","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus townsendi","adult","mesopelagic","oceanic",1,0,0,"fusiform",0,0,1,1,1,"schooling",3.5,5.81513131122695,0.0788782600263703
"36","Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.4,5.95781718722297,0.0724574795615877
"37","Actinopterygii","Myctophiformes","Myctophidae","Diaphus luetkeni","adult","mesopelagic","oceanic",1,0,NA,"fusiform",0,0,1,1,1,"schooling",3.78,4.85469642677195,0.0705134041398228
"38","Actinopterygii","Myctophiformes","Myctophidae","Diaphus theta","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.19,5.14028586553732,0.0657912804668726
"39","Actinopterygii","Myctophiformes","Myctophidae","Electrona rissoi","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.4,3.54336293064622,0.128152574649213
"40","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus alatus","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.22,6.48688475278482,0.0574909992070695
"41","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus crocodilus","adult","bathypelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.22,6.24192062819474,0.0356419098526163
"42","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus intricarius","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.4,5.93910938139156,0.0429093175792463
"43","Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus mexicanus","adult","mesopelagic","oceanic",1,0,NA,"fusiform",0,0,1,1,1,"schooling",3.4,NA,NA
"44","Actinopterygii","Myctophiformes","Myctophidae","Lobianchia gemellarii","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3,4.7823579782878,0.0560148088412441
"45","Actinopterygii","Myctophiformes","Myctophidae","Myctophum punctatum","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.390000105,5.39207959741222,0.0841438916517687
"46","Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium regale","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.2,5.72670154950447,0.0410531596736369
"47","Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium ritteri","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.37,5.21744566341612,0.0420794358013496
"48","Actinopterygii","Myctophiformes","Myctophidae","Notoscopelus kroyeri","adult","mesopelagic","oceanic",1,0,NA,"fusiform",0,0,1,1,1,"schooling",3.17,6.41400154014783,0.0494813687309994
"49","Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum crockeri","adult","mesopelagic","oceanic",1,0,NA,"fusiform",0,0,1,1,1,"schooling",3.2,3.93924568433697,0.119637258922155
"50","Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius leucopsarus","adult","mesopelagic","oceanic",1,0,NA,"fusiform",0,0,1,1,1,"schooling",3.1,5.5383693832168,0.0679173368029301
"51","Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","adult","mesopelagic","oceanic",1,0,NA,"fusiform",0,0,1,1,1,"schooling",3.13,5.13415883301798,0.0655551038074522
"52","Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","adult","mesopelagic","oceanic",1,0,1,"fusiform",0,0,1,1,1,"schooling",3.33,5.55390276754484,0.0608311483693511
"53","Actinopterygii","Ophidiiformes","Aphyonidae","Barathronus parfaiti","adult","bathypelagic","oceanic",NA,0,NA,"eel-like",0,1,0,0,0,"solitary",3.4,5.5112925170068,0
"54","Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","adult","demersal","continental shelf",NA,1,NA,"eel-like",0,0,1,0,0,"solitary",4.07,6.88156117034533,0.0412050112269502
"55","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","adult","epipelagic","coastal",1,0,1,"elongated",0,0,0,1,0,"schooling",3.25,6.51129904064781,0.0309236480764529
"56","Actinopterygii","Perciformes","Ammodytidae","Ammodytes tobianus","adult","demersal","continental shelf",1,1,0,"elongated",0,0,0,1,0,"schooling",3.08,11.2734477346448,0.0285982780221221
"57","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","adult","demersal","continental shelf",0,1,0,"eel-like",1,0,1,0,0,"solitary",3.51,9.95716814159292,0.0166020832592698
"58","Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","adult","benthic","continental shelf",0,1,NA,"elongated",1,0,1,0,0,"solitary",3.49,4.33919636365312,0.141243235895908
"59","Actinopterygii","Perciformes","Bramidae","Brama brama","adult","epipelagic","oceanic",1,0,1,"compressiform",0,0,0,1,0,"schooling",4.08,2.82339727807413,0.0480358168333271
"60","Actinopterygii","Perciformes","Bramidae","Brama orcini","adult","epipelagic","continental shelf",1,0,1,"compressiform",0,0,0,1,0,"schooling",3.9,2.62699843761499,0.0643731790160915
"61","Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","adult","epipelagic","oceanic",NA,0,1,"compressiform",0,0,0,1,0,"schooling",4.1,2.96981173040935,0.0862309669288003
"62","Actinopterygii","Perciformes","Bramidae","Taractes asper","adult","epipelagic","oceanic",NA,0,1,"compressiform",0,0,0,0,0,NA,4.3,3.15609358756909,0.0807292244352098
"63","Actinopterygii","Perciformes","Caproidae","Antigonia capros","adult","demersal","continental shelf",NA,0,NA,"compressiform",1,0,0,0,0,"shoaling",4.05,1.12771273850606,0.0968472205146392
"64","Actinopterygii","Perciformes","Caproidae","Capros aper","adult","demersal","continental shelf",NA,1,NA,"compressiform",1,0,0,0,0,"schooling",3.14,2.27818963769386,0.112741024675445
"65","Actinopterygii","Perciformes","Carangidae","Selene setapinnis","adult","demersal","coastal",NA,0,0,"compressiform",1,0,0,0,0,"schooling",3.72,1.75583383305247,0.0757441687907596
"66","Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","adult","epipelagic","coastal",0,0,1,"fusiform",1,0,0,0,0,"schooling",3.73,3.41655218911033,0.0867186953400686
"67","Actinopterygii","Perciformes","Carangidae","Trachurus japonicus","adult","epipelagic","coastal",1,0,1,"fusiform",1,0,0,1,0,"schooling",3.4,4.57395744596306,0.0596575370519232
"68","Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","adult","epipelagic","oceanic",1,0,1,"fusiform",1,0,0,1,0,"schooling",3.57,5.36501851609172,0.0598738622660984
"69","Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","adult","epipelagic","coastal",1,0,1,"fusiform",1,0,0,1,0,"schooling",3.71,4.8924913607044,0.0638386100486608
"70","Actinopterygii","Perciformes","Centrolophidae","Centrolophus niger","adult","mesopelagic","oceanic",1,1,NA,"fusiform",1,0,0,1,0,"schooling",3.92,4.21287657930399,0.0392653862748612
"71","Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","adult","epipelagic","oceanic",1,1,NA,"fusiform",1,1,0,0,0,"shoaling",3.71,3.54896159476423,0.0656971369433667
"72","Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon niger","adult","bathypelagic","oceanic",1,0,NA,"elongated",1,0,0,0,0,"solitary",4.2,7.10089705682314,0.0393137161462354
"73","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","adult","epipelagic","oceanic",0,0,1,"elongated",0,0,1,1,0,"schooling",4.37,5.51635496998878,0.0235667971020648
"74","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","adult","demersal","coastal",0,1,1,"compressiform",1,0,1,0,0,"shoaling",2.99,3.1503431685667,0.0739855639090602
"75","Actinopterygii","Perciformes","Gempylidae","Diplospinus multistriatus","adult","mesopelagic","continental shelf",1,0,0,"elongated",1,0,0,0,0,"solitary",3.51,15.8237749515274,0.0353998750341759
"76","Actinopterygii","Perciformes","Gempylidae","Gempylus serpens","adult","mesopelagic","oceanic",1,0,NA,"elongated",1,0,0,1,0,"solitary",4.35,16.096758173603,0.0279243884399916
"77","Actinopterygii","Perciformes","Gempylidae","Nealotus tripes","adult","mesopelagic","oceanic",1,0,NA,"elongated",1,0,0,0,0,"solitary",4.2,8.06911300205598,0.0470649853807232
"78","Actinopterygii","Perciformes","Gempylidae","Nesiarchus nasutus","adult","mesopelagic","continental shelf",1,0,NA,"elongated",1,0,0,0,0,NA,4.33,10.4610468016228,0.0300330742436332
"79","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","adult","benthic","continental shelf",0,1,1,"elongated",1,0,1,0,0,"shoaling",3.369999886,5.63686205836922,0.0488123461669955
"80","Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","adult","demersal","reef-associated",0,1,1,"fusiform",1,0,1,1,0,"schooling",2.67,3.08839014026356,0.0498436642015934
"81","Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","adult","demersal","reef-associated",0,1,0,"fusiform",1,0,1,0,0,"solitary",4,3.33595883377439,0.0275370152009165
"82","Actinopterygii","Perciformes","Mugilidae","Mugil cephalus","adult","epipelagic","coastal",1,0,1,"fusiform",1,0,0,1,0,"schooling",2.48,5.09611456871635,0.0391410213820271
"83","Actinopterygii","Perciformes","Mullidae","Mullus barbatus barbatus","adult","demersal","continental shelf",0,1,1,"fusiform",1,0,1,1,0,"shoaling",3.14,4.60048406271458,0.0515851966242557
"84","Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","adult","epipelagic","oceanic",NA,1,1,"fusiform",0,0,0,0,0,"shoaling",3.4,4.70486891748184,0.064820854814245
"85","Actinopterygii","Perciformes","Nomeidae","Psenes pellucidus","adult","epipelagic","oceanic",NA,1,NA,"compressiform",1,1,0,0,0,"shoaling",3.85,3.04465989591971,0.0760521483428216
"86","Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","adult","demersal","reef-associated",1,1,0,"fusiform",1,0,1,0,0,"schooling",2.73,3.12504655788991,0.0580003218007776
"87","Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","adult","epipelagic","oceanic",1,0,1,"fusiform",1,0,1,1,0,"schooling",4.43,3.44994762126013,0.0406443676925152
"88","Actinopterygii","Perciformes","Scombridae","Scomber japonicus","adult","epipelagic","continental shelf",1,0,1,"fusiform",1,0,1,1,0,"schooling",3.38,5.27640220348731,0.0549093095841902
"89","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","adult","epipelagic","continental shelf",1,0,1,"fusiform",1,0,1,1,0,"schooling",3.63,5.59875407891976,0.0405678588414715
"90","Actinopterygii","Perciformes","Sparidae","Boops boops","adult","demersal","continental shelf",1,0,1,"fusiform",1,0,1,1,0,"schooling",2.79,4.60492093625265,0.0729206706343984
"91","Actinopterygii","Perciformes","Sparidae","Diplodus sargus","adult","demersal","reef-associated",0,1,1,"fusiform",1,0,1,0,0,"schooling",3.38,2.63509861483204,0.0749153993574693
"92","Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","adult","demersal","coastal",0,1,1,"fusiform",1,0,1,0,0,"schooling",3.34,2.88852115283044,0.066314842902408
"93","Actinopterygii","Perciformes","Stomateidae","Peprilus simillimus","adult","demersal","coastal",NA,1,NA,"compressiform",1,0,0,1,0,"schooling",4,2.67638457483476,0.0398956312331938
"94","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","adult","mesopelagic","oceanic",1,0,1,"elongated",1,0,0,0,0,"shoaling",3.64,7.24046845217968,0.0483880250161362
"95","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus cuvieri","adult","mesopelagic","oceanic",1,0,1,"elongated",1,0,0,0,0,"shoaling",3.78,6.80747038333902,0.0328919100197897
"96","Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus imperialis","adult","benthic","continental shelf",1,1,1,"depressiform",0,0,1,0,0,"solitary",3.84,2.95441146071645,0.0599844519592284
"97","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys sordidus","adult","demersal","continental shelf",1,1,1,"depressiform",0,0,1,0,0,"solitary",3.46,2.93054645784564,0.0699995352175937
"98","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys decurrens","adult","demersal","continental shelf",0,1,NA,"depressiform",0,0,1,0,0,"solitary",3.85,2.1799529508605,0.065297094107974
"99","Actinopterygii","Pleuronectiformes","Pleutonectidae","Microstomus pacificus","adult","demersal","continental shelf",1,1,1,"depressiform",0,0,1,0,0,"shoaling",3.22,3.33598042731566,0.048624191413943
"100","Actinopterygii","Pleutonectiformes","Pleuronectidae","Glyptocephalus zachirus","adult","demersal","continental shelf",0,1,1,"depressiform",0,0,1,0,0,"solitary",3.25,3.20643526562793,0.0510409726282482
"101","Actinopterygii","Scorpaeniformes","Agonidae","Bathyagonus pentacanthus","adult","demersal","continental shelf",0,1,NA,"elongated",1,0,0,1,0,"solitary",3.2,10.6985590489582,0.0476157551175962
"102","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","adult","demersal","continental shelf",1,1,1,"fusiform",1,0,1,0,0,"solitary",3.84,5.49400454017178,0.025770554222543
"103","Actinopterygii","Scorpaeniformes","Gonatidae","Helicolenus dactylopterus","adult","demersal","continental shelf",NA,1,1,"fusiform",1,0,1,0,0,"schooling",3.54,3.49296865793186,0.0794858134476809
"104","Actinopterygii","Scorpaeniformes","Peristediidae","Peristedion gracile","adult","demersal","continental shelf",NA,1,NA,"fusiform",1,0,1,0,0,NA,3.4,7.00839036763546,0.0661479846879822
"105","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes aleutianus","adult","demersal","continental shelf",1,1,1,"fusiform",1,0,0,0,0,"shoaling",3.52,3.44809626048679,0.0660787827980167
"106","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes brevispinis","adult","demersal","continental shelf",0,1,1,"fusiform",1,0,0,1,0,"shoaling",3.8,3.74817999354883,0.0555224430396963
"107","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes diploproa","adult","demersal","continental shelf",0,1,1,"fusiform",1,0,1,1,0,"shoaling",3.7,3.2001424656578,0.0962271871124142
"108","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes helvomaculatus","adult","demersal","continental shelf",1,1,1,"fusiform",1,0,1,1,0,"shoaling",3.7,3.65131847656066,0.0888970999841436
"109","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes maliger","adult","demersal","reef-associated",NA,1,1,"fusiform",1,0,1,0,0,"solitary",3.84,2.55848974485882,0.128272497439332
"110","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes miniatus","adult","demersal","reef-associated",1,1,NA,"fusiform",1,0,1,0,0,"shoaling",3.9,3.11814213891553,0.0659201289968243
"111","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes proriger","adult","demersal","continental shelf",0,1,1,"fusiform",1,0,1,1,0,"shoaling",3.8,3.98093459417965,0.0736123813950779
"112","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes wilsoni","adult","demersal","continental shelf",1,1,1,"fusiform",1,0,1,0,0,"shoaling",3.6,4.25182606249106,0.0949194939912277
"113","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes zacentrus","adult","demersal","continental shelf",1,1,1,"fusiform",1,0,1,0,0,"shoaling",3.7,3.50499877110133,0.083320882385046
"114","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","adult","demersal","continental shelf",0,1,1,"elongated",1,0,1,1,0,"shoaling",3.87,6.40579869340426,0.060218774433454
"115","Actinopterygii","Stephanoberyciformes","Melamphaidae","Melamphaes lugubris","adult","mesopelagic","oceanic",1,0,NA,"fusiform",1,0,0,0,0,NA,3.8,3.87518889264811,0.0493359857294563
"116","Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus mizolepis bispinosus","adult","mesopelagic","oceanic",1,0,0,"fusiform",1,0,1,1,0,NA,3.5,3.85864859777903,0.0443393005219258
